year,month,day,MJO_120W
2013,3,9,-0.7
2013,3,14,-0.69
2013,3,19,1.09
2013,3,24,0.73
2013,3,29,-0.57
2013,4,3,-0.7
2013,4,8,-0.8
2013,4,13,-1.14
2013,4,18,-0.75
2013,4,23,-0.74
2013,4,28,-0.11
2013,5,3,1.43
2013,5,8,0.93
2013,5,13,-1.02
2013,5,18,-0.16
2013,5,23,-0.18
2013,5,28,0.41
2013,6,2,-0.15
2013,6,7,-0.54
2013,6,12,-1.1
2013,6,17,-1.88
2013,6,22,-0.66
2013,6,27,0.91
2013,7,2,1.36
2013,7,7,0.99
2013,7,12,-0.13
2013,7,17,-0.8
2013,7,22,-0.32
2013,7,27,-0.52
2013,8,1,-0.78
2013,8,6,-0.39
2013,8,11,-0.04
2013,8,16,0.08
2013,8,21,-0.31
2013,8,26,0.15
2013,8,31,1.46
2013,9,5,1.39
2013,9,10,0.11
2013,9,15,-1.37
2013,9,20,-1.74
2013,9,25,-1.72
2013,9,30,-1.33
2013,10,5,-1.68
2013,10,10,-1
2013,10,15,0.01
2013,10,20,0.02
2013,10,25,-0.75
2013,10,30,0.34
2013,11,4,1.04
2013,11,9,-0.08
2013,11,14,-0.52
2013,11,19,-0.25
2013,11,24,-0.57
2013,11,29,-0.55
2013,12,4,0.86
2013,12,9,0.18
2013,12,14,-0.28
2013,12,19,-0.63
2013,12,24,-0.89
2013,12,29,-1.41
2014,1,3,-1.49
2014,1,8,-0.76
2014,1,13,-1.11
2014,1,18,-1.22
2014,1,23,-0.23
2014,1,28,-0.53
2014,2,2,0.08
2014,2,7,-0.27
2014,2,12,-1.14
2014,2,17,-1.75
2014,2,22,-0.94
2014,2,27,0.07
2014,3,4,0.5
2014,3,9,0.88
2014,3,14,0.08
2014,3,19,-1.24
2014,3,24,-0.22
2014,3,29,-0.13
2014,4,3,-0.81
2014,4,8,-2.99
2014,4,13,-2.23
2014,4,18,-1.65
2014,4,23,-0.79
2014,4,28,-0.15
2014,5,3,1.08
2014,5,8,1.69
2014,5,13,-0.96
2014,5,18,-0.43
2014,5,23,0.41
2014,5,28,0.6
2014,6,2,-0.01
2014,6,7,-0.56
2014,6,12,-1.3
2014,6,17,-1.85
2014,6,22,-1.59
2014,6,27,-0.51
2014,7,2,0.07
2014,7,7,-0.53
2014,7,12,-1.63
2014,7,17,-0.95
2014,7,22,-1.99
2014,7,27,-0.89
2014,8,1,0.48
2014,8,6,0.41
2014,8,11,0.48
2014,8,16,0.71
2014,8,21,1.54
2014,8,26,0.74
2014,8,31,-0.5
2014,9,5,-1.44
2014,9,10,-1.29
2014,9,15,0.44
2014,9,20,0.37
2014,9,25,-0.65
2014,9,30,-1.3
2014,10,5,-1.15
2014,10,10,-0.4
2014,10,15,0.58
2014,10,20,0.96
2014,10,25,0.32
2014,10,30,-0.13
2014,11,4,-0.87
2014,11,9,0.61
2014,11,14,1.45
2014,11,19,0.54
2014,11,24,-0.18
2014,11,29,-1.92
2014,12,4,-1.82
2014,12,9,-0.15
2014,12,14,0.24
2014,12,19,0
2014,12,24,-0.68
2014,12,29,-1.58
2015,1,3,-2.06
2015,1,8,-2.54
2015,1,13,-0.93
2015,1,18,-0.4
2015,1,23,-0.79
2015,1,28,-0.93
2015,2,2,-0.91
2015,2,7,0.8
