"year","date","temp_C","site"
2020,20200417,15.63,"MOHK"
2020,20200418,15.22,"ABUR"
2020,20200418,15.09,"AQUE"
2020,20200418,15.23,"MOHK"
2020,20200419,14.89,"ABUR"
2020,20200419,15.05,"AQUE"
2020,20200419,14.9,"MOHK"
2020,20200420,14.57,"ABUR"
2020,20200420,14.4,"AQUE"
2020,20200420,14.59,"MOHK"
2020,20200421,14.45,"ABUR"
2020,20200421,14.07,"AQUE"
2020,20200421,14.49,"MOHK"
2020,20200422,14.53,"ABUR"
2020,20200422,14.04,"AQUE"
2020,20200422,14.57,"MOHK"
2020,20200423,14.46,"ABUR"
2020,20200423,13.66,"AQUE"
2020,20200423,14.48,"MOHK"
2020,20200424,15.08,"ABUR"
2020,20200424,13.78,"AQUE"
2020,20200424,15.12,"MOHK"
2020,20200425,15.44,"ABUR"
2020,20200425,14,"AQUE"
2020,20200425,15.47,"MOHK"
2020,20200426,15.92,"ABUR"
2020,20200426,14.25,"AQUE"
2020,20200426,15.96,"MOHK"
2020,20200427,16.11,"ABUR"
2020,20200427,14.47,"AQUE"
2020,20200427,16.15,"MOHK"
2020,20200428,16.05,"ABUR"
2020,20200428,14.45,"AQUE"
2020,20200428,16.09,"MOHK"
2020,20200429,15.43,"ABUR"
2020,20200429,13.95,"AQUE"
2020,20200429,15.47,"MOHK"
2020,20200430,15.05,"ABUR"
2020,20200430,13.67,"AQUE"
2020,20200430,15.1,"MOHK"
2020,20200501,14.96,"ABUR"
2020,20200501,13.71,"AQUE"
2020,20200501,15.01,"MOHK"
2020,20200502,14.88,"ABUR"
2020,20200502,13.56,"AQUE"
2020,20200502,14.92,"MOHK"
2020,20200503,14.89,"ABUR"
2020,20200503,13.89,"AQUE"
2020,20200503,14.93,"MOHK"
2020,20200504,15.23,"ABUR"
2020,20200504,13.86,"AQUE"
2020,20200504,15.24,"MOHK"
2020,20200505,15.31,"ABUR"
2020,20200505,13.68,"AQUE"
2020,20200505,15.33,"MOHK"
2020,20200506,15.41,"ABUR"
2020,20200506,14.07,"AQUE"
2020,20200506,15.44,"MOHK"
2020,20200507,15.44,"ABUR"
2020,20200507,14.11,"AQUE"
2020,20200507,15.47,"MOHK"
